alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,pc_1,pc_2,tsne_1,tsne_2,label
13.67,1.25,1.92,18.0,94.0,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630.0,0.030606834086678362,-1.262786144211405,2.7946637,4.4215517,1
12.37,1.13,2.16,19.0,87.0,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420.0,2.050261607576316,-1.9250326046501014,0.04923748,-6.5087137,1
12.17,1.45,2.53,19.0,104.0,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355.0,-0.6096808271776233,-1.9080588050851879,-10.085682,10.691665,1
12.37,1.21,2.56,18.1,98.0,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678.0,0.9002278387071435,-0.7639114736096088,3.1758454,-31.379984,1
13.11,1.01,1.7,15.0,78.0,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502.0,2.248507190798394,-1.8845924845501347,1.8329933,-4.4519806,1
12.37,1.17,1.92,19.6,78.0,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510.0,0.18338402668475415,-2.427146114703572,-1.2331953,1.7817814,1
13.34,0.94,2.36,17.0,110.0,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750.0,-0.8128050273520723,-0.22051398690227056,-15.221871,20.473152,1
12.21,1.19,1.75,16.8,151.0,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718.0,1.975620498798553,-1.4032832253096141,-6.51243,-24.31113,1
12.29,1.61,2.21,20.4,103.0,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870.0,-1.5722162196263008,-0.8849831369082217,-14.351295,13.381634,1
13.86,1.51,2.67,25.0,86.0,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410.0,1.6576818088332894,-0.9567121974591498,11.4470415,-17.412418,1
13.49,1.66,2.24,24.0,87.0,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472.0,-0.7253723880353568,-1.0636454007060954,-12.786231,-3.0973341,1
12.99,1.67,2.6,30.0,139.0,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985.0,2.5622271731703625,0.2601985506545986,1.0891575,-40.33403,1
11.96,1.09,2.3,21.0,101.0,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886.0,1.832567570049548,-1.287878197860525,-2.2481136,-7.3053303,1
11.66,1.88,1.92,16.0,97.0,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428.0,-0.8679929031954139,-2.444101185580865,-1.1105467,6.6619177,1
13.03,0.9,1.71,16.0,86.0,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392.0,0.37001440429478105,-2.1539069751569904,1.4290049,3.9871466,1
11.84,2.89,2.23,18.0,112.0,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500.0,-1.4573770449061398,-1.3833517690762591,-2.24337,8.657109,1
12.33,0.99,1.95,14.8,136.0,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750.0,1.2629308497284977,-0.7708495299701165,-6.7370253,-25.074121,1
12.7,3.87,2.4,23.0,101.0,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463.0,0.37615037193424145,-1.0270434033558218,7.383337,-4.3117437,1
12.0,0.92,2.0,19.0,86.0,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278.0,0.7620639041095977,-3.375053809963536,0.80047977,-0.63806045,1
12.72,1.81,2.2,18.8,86.0,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714.0,1.0345779671651865,-1.4507097382440923,-1.9306893,-1.2019227,1
12.08,1.13,2.51,24.0,78.0,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630.0,-0.4948767556803281,-2.381243526767369,-10.425763,7.065303,1
13.05,3.86,2.32,22.5,85.0,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515.0,-2.5389770842951203,-0.08744335730498203,-14.659383,30.706852,1
11.84,0.89,2.58,18.0,94.0,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520.0,0.8353201453942973,-1.4736705514008663,-8.868859,-8.2394495,1
12.67,0.98,2.24,18.0,99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0,0.7879046149897087,-2.0266265224624775,-0.6526947,-0.8388558,1
12.16,1.61,2.31,22.8,90.0,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495.0,-0.8068321559655391,-2.2338303908439117,-10.60793,8.7565975,1
11.65,1.67,2.62,26.0,88.0,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562.0,-0.5580426248756827,-2.3729854288494536,-9.318118,7.134601,1
11.64,2.06,2.46,21.6,84.0,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680.0,-1.1151110419194465,-1.8022471916654532,-13.133161,6.7930293,1
12.08,1.33,2.3,23.6,70.0,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625.0,-0.5557228299517022,-2.657540035392292,-10.638739,5.4840665,1
12.08,1.83,2.32,18.5,81.0,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480.0,-1.3492852824437314,-2.118001469784818,-13.543683,9.517148,1
12.0,1.51,2.42,22.0,86.0,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450.0,-1.5644826057199068,-1.8522145217655503,-13.889861,8.201104,1
12.69,1.53,2.26,20.7,80.0,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495.0,-1.9325556106314645,-1.5594954568986217,-14.832049,10.096577,1
12.29,2.83,2.22,18.0,88.0,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290.0,0.7466659419884496,-2.3129317092207393,-1.9078896,-3.3414075,1
11.62,1.99,2.28,18.0,98.0,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345.0,0.9574553638036406,-2.22352843466746,-2.00035,-5.489915,1
12.47,1.52,2.2,19.0,162.0,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937.0,2.5438651841995537,0.16927402279974307,-5.7966843,-25.454977,1
11.81,2.12,2.74,21.5,134.0,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625.0,-0.5439525887762288,-0.3689265458773144,-3.374535,21.888153,1
12.29,1.41,1.98,16.0,85.0,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428.0,1.031049750388148,-2.5655693487335247,0.9806248,-1.5358618,1
12.37,1.07,2.1,18.5,88.0,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660.0,2.251909422148125,-1.4327413803542548,0.6887295,-6.8722954,1
12.29,3.17,2.21,18.0,88.0,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406.0,1.41021601533746,-2.166191769370384,5.169372,-4.6331553,1
12.08,2.08,1.7,17.5,97.0,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710.0,0.7977197926930399,-2.3769488030818624,1.6000088,1.5946058,1
12.6,1.34,1.9,18.5,88.0,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562.0,-0.549531726649466,-2.2931286432456277,-1.5489827,4.1699023,1
12.34,2.45,2.46,21.0,98.0,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438.0,-0.1611737399485452,-1.1644833215600152,-9.245376,-3.552723,1
11.82,1.72,1.88,19.5,86.0,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415.0,-0.6597949416843611,-2.679961185989635,-5.504237,2.7285063,1
12.51,1.73,1.98,20.5,85.0,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672.0,0.3923544081850815,-2.098731708765537,-2.6477084,1.258163,1
12.42,2.55,2.27,22.0,90.0,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315.0,-1.772499077960035,-1.717288469376142,-16.851837,8.257089,1
12.25,1.73,2.12,19.0,80.0,1.65,2.03,0.37,1.63,3.4,1.0,3.17,510.0,-0.36626735735206556,-2.169353297829283,-3.0663848,2.7158318,1
12.72,1.75,2.28,22.5,84.0,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488.0,-1.62067257278748,-1.3555833880259567,-15.353285,9.239415,1
12.22,1.29,1.94,19.0,92.0,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312.0,0.08253578349332687,-2.3062345877483246,-6.208816,1.8443832,1
11.61,1.35,2.7,20.0,94.0,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680.0,1.5782750709323823,-1.4620342902048145,-8.561199,-7.5151834,1
11.46,3.74,1.82,19.5,107.0,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562.0,1.4205692478240175,-1.4182066376337472,-4.602747,-12.32478,1
12.52,2.43,2.17,21.0,88.0,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325.0,-0.2787027536488551,-1.9305680886704677,-10.710544,-2.7250233,1
11.76,2.68,2.92,20.0,103.0,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607.0,-1.3031449662482804,-0.7631723136577908,-9.87582,12.273721,1
11.41,0.74,2.5,21.0,88.0,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434.0,-0.4570718656526246,-2.2694156075896736,-12.749228,4.900926,1
12.08,1.39,2.5,22.5,84.0,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385.0,-0.49418584704437535,-1.9390450494868317,-11.54902,2.207397,1
11.03,1.51,2.2,21.5,85.0,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407.0,0.48207440977309296,-3.8717838484072393,-7.4070363,8.891125,1
11.82,1.47,1.99,20.8,86.0,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495.0,-0.25288887765320117,-2.821492374701592,-3.9849455,1.8502424,1
12.42,1.61,2.19,22.5,108.0,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345.0,-0.10722763772912448,-1.928922042566958,-7.905385,-0.048318118,1
12.77,3.43,1.98,16.0,80.0,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372.0,-2.4330126025502192,-1.2571410404943941,-9.514385,27.660341,1
12.0,3.43,2.0,19.0,87.0,2.0,1.64,0.37,1.87,1.28,0.93,3.05,564.0,-0.5510895391746515,-2.222161550776621,-4.8985734,-0.2204565,1
11.45,2.4,2.42,20.0,96.0,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625.0,0.7396219285682223,-1.4089566673657103,-8.63245,-5.5828524,1
11.56,2.05,3.23,28.5,119.0,3.18,5.08,0.47,1.87,6.0,0.93,3.69,465.0,1.3363217334183315,0.2533369311683094,-0.9509215,-38.009396,1
12.42,4.43,2.73,26.5,102.0,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365.0,-1.1770869962477721,-0.663966839801569,8.072806,-3.5997329,1
13.05,5.8,2.13,21.5,86.0,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380.0,-0.46233500801967864,-0.6182881794850412,-1.87795,-13.496037,1
11.87,4.31,2.39,21.0,82.0,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380.0,0.9784740793566489,-1.4455704988958247,-3.3603277,-12.729486,1
12.07,2.16,2.17,21.0,85.0,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378.0,-0.09680972631598592,-2.1099979931352255,-9.912581,-1.9743825,1
12.43,1.53,2.29,21.5,86.0,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352.0,0.03848714594902496,-1.266762109157884,-10.6587105,-0.6506667,1
11.79,2.13,2.78,28.5,92.0,2.13,2.24,0.58,1.76,3.0,0.97,2.44,466.0,-1.5971585012074707,-1.208143574128483,8.434289,-0.84113383,1
12.37,1.63,2.3,24.5,88.0,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342.0,-0.47956491608312596,-1.9388406603940467,-9.670778,0.30830377,1
12.04,4.3,2.38,22.0,80.0,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580.0,-1.792833473031144,-1.150288104442104,-15.530256,2.4517965,1
12.86,1.35,2.32,18.0,122.0,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630.0,-1.3271016561416022,0.17038923204902834,-3.767222,23.477907,2
12.88,2.99,2.4,20.0,104.0,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530.0,-2.3845008347435313,0.37458260552469375,-4.391368,26.066685,2
12.81,2.31,2.4,24.0,98.0,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560.0,-2.936940102146614,0.2638618300683811,-3.4067378,26.575455,2
12.7,3.55,2.36,21.5,106.0,1.7,1.2,0.17,0.84,5.0,0.78,1.29,600.0,-2.1468111338160645,0.3682549518864616,-4.4926934,25.228031,2
12.51,1.24,2.25,17.5,85.0,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650.0,-2.369869488333043,-0.45963480923116645,-14.476145,24.639225,2
12.6,2.46,2.2,18.5,94.0,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695.0,-3.063841568720355,0.35341283545840274,-14.158686,25.698225,2
12.25,4.72,2.54,21.0,89.0,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720.0,-3.91575378371189,0.15458251944173323,-17.304827,34.92742,2
12.53,5.51,2.64,25.0,96.0,1.79,0.6,0.63,1.1,5.0,0.82,1.69,515.0,-3.9364633907159625,0.6596872334097837,-17.609335,35.82994,2
13.49,3.59,2.19,19.5,88.0,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580.0,-3.0942761177622757,0.3488427592737949,-12.91647,31.141228,2
12.84,2.96,2.61,24.0,101.0,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590.0,-2.3744716280069222,0.29198035155999463,-0.29701254,34.16897,2
12.93,2.81,2.7,21.0,96.0,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600.0,-2.778812947632515,0.28680487288217466,-1.1396968,32.362377,2
13.36,2.56,2.35,20.0,89.0,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780.0,-2.2865612847384704,0.37250784468529785,-4.88318,29.565582,2
13.52,3.17,2.72,23.5,97.0,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520.0,-2.985633487449466,0.4892179083470121,-0.108742274,32.579075,2
13.62,4.95,2.35,20.0,92.0,2.0,0.8,0.47,1.02,4.4,0.91,2.05,550.0,-2.3751946982271086,0.4823337172448767,-11.679478,31.950846,2
12.25,3.88,2.2,18.5,112.0,1.38,0.78,0.29,1.14,8.21,0.65,2.0,855.0,-2.209865525595872,1.1600525041576437,-6.4303775,32.312,2
13.16,3.57,2.15,21.0,102.0,1.5,0.55,0.43,1.3,4.0,0.6,1.68,830.0,-2.625621004692722,0.5631607642108348,-7.7138963,29.98433,2
13.88,5.04,2.23,20.0,80.0,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415.0,-4.280638778751087,0.6496709640237048,-13.874613,33.733475,2
12.87,4.61,2.48,21.5,86.0,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625.0,-3.582641372001105,1.2727027497273011,-12.363911,37.052517,2
13.32,3.24,2.38,21.5,92.0,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650.0,-2.8070637200816586,1.5705337870411975,-9.577283,39.30572,2
13.08,3.9,2.36,21.5,113.0,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550.0,-2.899659333023912,2.0410570079384653,-5.5360456,45.402817,2
13.5,3.12,2.62,24.0,123.0,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500.0,-2.3207369765492043,2.3563660755566755,-3.4295866,44.806953,2
12.79,2.67,2.48,22.0,112.0,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480.0,-2.5498309472261367,2.045283091019525,-4.307053,45.828854,2
13.11,1.9,2.75,25.5,116.0,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425.0,-1.812541284842298,1.5276459462687526,-2.0550733,44.43654,2
13.23,3.3,2.28,18.5,98.0,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675.0,-2.7601446419239504,2.138932347642612,-11.909428,41.924522,2
12.58,1.29,2.1,20.0,103.0,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640.0,-2.7371505006679917,0.40988627088179125,-15.18312,26.347567,2
13.17,5.19,2.32,22.0,93.0,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725.0,-3.6048688681834244,1.8023842175839673,-14.335436,38.380157,2
13.84,4.12,2.38,19.5,89.0,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480.0,-2.889825996873507,1.925218613130342,-10.849219,40.064342,2
12.45,3.03,2.64,27.0,97.0,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880.0,-3.392156076835721,1.3118763884735973,-0.63015544,36.238194,2
14.34,1.68,2.7,25.0,98.0,2.8,1.31,0.53,2.7,13.0,0.57,1.96,660.0,-1.0481818968536765,3.5150896912197314,-13.306535,46.295,2
13.48,1.67,2.64,22.5,89.0,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620.0,-1.6099122828479344,2.406638159574329,-13.375435,45.643375,2
12.36,3.83,2.38,21.0,88.0,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520.0,-3.1431309667439744,0.7381610441757984,-11.2780485,37.43443,2
13.69,3.26,2.54,20.0,107.0,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680.0,-2.2401568962695437,1.1754652881188634,-2.6725383,33.19731,2
12.85,3.27,2.58,22.0,106.0,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570.0,-2.8476737761195197,0.5560439658826742,-1.4214768,33.73353,2
